date,distance,drinking,population,satellite,fireball,pilotballon,precipitation,visibility,smog,shape,timing
20050323,0.38841118,,,0,,,,,, disk,19 minutes
20060312,241.2590117,,,0,,,0.11,,, cylinder,hours
20080118,1.653945878,,,0,,,0.33,,, formation,five minutes
20040321,,,,0,,,,,, oval,45 Min
20010317,1.814317471,,,0,,,0,,, disk,UNKNOWN
20040317,1.169577738,,,0,,,0.12,,, disk,approx:6 minutes
20050327,,,,0,,,,,, light,30 seconds
20100317,692.6255479,,,0,,,,,, cigar,2 min
19990225,9.22E+18,,,0,,,,,, circle,1 hour
19990225,,,,0,,,,,, circle,12 hours
20080516,5.020495793,,,0,,,,,, cigar,20 Min.
20050319,12.69092816,,,0,,,,,, sphere,10 seconds
20010206,9.22E+18,,,0,,,,,, fireball,few minutes
20020305,,,,0,,,,,, rectangle,20 sec
20080126,2.288640211,,,0,,,0.11,,, disk,8-10 seconds
20070708,1762.19006,,,0,,47.36492777,,,, unknown,unknown
20090331,0.177911408,,,0,,,0.12,,, oval,8 sec
20080105,11.80616346,,,0,,,0,,, light,15 minutes
20050911,,,,0,,,0.16,,, circle,10 minutes
19990927,1.025772514,,,0,,,,,, oval,15sec
20090213,70.33950075,,,0,,,0,,, circle,3 minutes
20040410,0.275470345,,,0,,10.72014389,0,13,, disk,ten minutes
20020228,,,,0,,80.91672766,0.13,,, other,40seconds
20031018,3991.65413,,,0,,,0,,, light,2-5 min.
20050722,1488.055564,,,0,,,,,, circle,10 minutes
20050226,0.332217206,,,0,,5.128387338,0,,, disk,3 minutes
20090702,0.401475731,,,0,,,0,16,, cigar,2300
20040820,343.3565592,,,0,,73.82064958,,,, formation,Under 1 minute
19990617,186.1455175,,,0,,,0,,, unknown,hours
19990111,2744.843337,,,0,,,,,, light,1 min. +
20080422,1.799634794,,,0,,1.73452144,0,15,, circle,ten+ minutes
20031002,2.596715369,,,0,,3.75766662,0,12,, disk,15 min.
20040128,2.082790565,,,0,,,,,, circle,15 min.
20060625,2.381782624,,,0,,,0,8,, disk,10 seconds
20040410,624.4633678,,,0,,,,,, cylinder,45 minutes
20051125,1.049303638,,,0,,,,,, light,1-2 hrs
20080218,0.177911408,,,0,,,0.1,,, cigar,2-3 minutes
20050522,6.610091519,,,0,,82.19368678,0.09,,, unknown,unknown
20070413,0.756143532,,,0,,,0.12,,, oval,15min
20080921,1.541320632,,,0,,,0,15,,,
20051114,,,,0,,,,,, disk,1-3 minutes
20040410,0.279333881,,,0,,1.445634711,,,, triangle,5 min
20051129,,,,0,,,,,, disk,1 minute
20060103,0.275696527,,,0,,,0,13,, oval,20/25 minutes
20080110,136.1193502,,,0,,,,,, unknown,
20080429,798.8118818,,,0,,,,,, disk,ten minutes or less
20080520,798.8118818,,,0,,,,,, disk,ten minutes or less
20071101,2.067359688,,,0,,,0,,, oval,10 minutes
20051209,3.105398482,,,0,,,,,, disk,15minutes
20040125,,,,0,,,,,, circle,1min
20071125,1.651392525,,,0,,,,,, oval,10 minutes
20000713,186.1455175,,,0,,,0,,, disk,4 sec
20060912,1.324058097,,,0,,,0,8,, sphere,5 to 10 minutes
20071225,,,,0,,,,,, light,.5 SEC
20080119,,,,0,,,,,, disk,2-3 seconds
20090211,7.920230854,,,0,,,0.33,,, disk,30 seconds
20040212,4.679964592,,,0,,,,,, light,5 1/2 hours
20080806,0.4194189,,,0,,,0,,, cigar,10 seconds
20010410,,,,0,,,0,,, light,approx 5 min
19990514,346.875437,,,0,,,0,10,, sphere,5 min
20021208,15.88132796,,,0,,,,,, formation,20 seconds
20080822,4714.767275,,,0,,,0,,, disk,2 - 3 minutes
20050225,0.679236519,,,0,,,,,, disk,HR
20060822,,,,0,,,,,, triangle,5 minutes
20080523,775.5318752,,,0,,,0.02,,, other,10 minutes
20060409,4.021259907,,,0,,,0,,, cigar,one and a half hours
20040716,350.2701721,,,0,,,0,10,, disk,30 seconds
20040409,0.251619188,,,0,,,0.14,,, disk,45min.
20040209,,,,0,,,,,, cigar,15 seconds
20010613,292.2592392,,,0,,,,,, disk,5 to 10 minutes
20050314,4.462476442,,,0,,,0,8,, oval,30 minutes
20010206,,,,0,,,,,, disk,30 minutes
20051114,,,,0,,,,,, cigar,5 minutes
20050611,315.4538439,,,0,,,0,7,, oval,5 minutes
20070830,,,,0,,,,,, disk,2 hours
20051228,210.7214267,,,0,,,0.21,,, disk,5 minutes
20061006,417.5125252,,,0,,4.398400947,1.66,7,, unknown,3 seconds
20091210,1.639433322,,,0,,,0.05,4,, disk,5 seconds
20000203,0.167502993,,,0,,,0.2,,,,minutes
20021015,5.05580582,,,0,,96.51253199,,,, sphere,5 to 7 min
20040502,5.089628506,,,0,,,,,, disk,???
20020613,1.053571088,,,0,,40.30097926,,,, disk,30 minutes
20021126,,,,0,,,,,, disk,approx. 10 minutes
20050810,,,,0,,,0,6,, circle,4 Seconds
20050719,0.276825006,,,0,,,0,9,, disk,20 min. ?
20050426,0.547127009,,,0,,,0,6,, disk,unknown
20030115,13.64857321,,,0,,,0,,, circle,10sec
